target,workload,variant,syscalls,bytes_read,useful_bytes,logical_reads,amplification,hit_rate,wall_ms,span_fetches,span_overreads,agree_twice_suppressed,retained_bytes,items,checksum,note
synthetic/clustered,poll,page-256,480,122880,17260,1860,7.1194,0.7447,0.1288,0,0,100,6144,100,45638D00012EEDF5,"20 snapshots"
synthetic/clustered,poll,page-512,360,184320,17260,1860,10.6790,0.8065,0.1299,0,0,100,9216,100,45638D00012EEDF5,"20 snapshots"
synthetic/clustered,poll,page-1k,220,225280,17260,1860,13.0521,0.8817,0.1246,0,0,100,11264,100,45638D00012EEDF5,"20 snapshots"
synthetic/clustered,poll,page-2k,140,286720,17260,1860,16.6118,0.9247,0.1233,0,0,100,14336,100,45638D00012EEDF5,"20 snapshots"
synthetic/clustered,poll,page-4k,100,409600,17260,1860,23.7312,0.9462,0.1263,0,0,100,20480,100,45638D00012EEDF5,"20 snapshots"
synthetic/clustered,poll,page-16k,160,1638400,17260,1860,94.9247,0.9570,0.1636,0,0,100,65536,100,45638D00012EEDF5,"20 snapshots"
synthetic/clustered,poll,span,280,209920,17260,1860,12.1622,0.8526,0.1617,140,0,100,10240,100,45638D00012EEDF5,"20 snapshots"
synthetic/clustered,poll,hybrid-1k,180,230400,17260,1860,13.3488,0.9053,0.1631,140,0,100,11392,100,45638D00012EEDF5,"20 snapshots"
synthetic/clustered,poll,hybrid-4k,180,353280,17260,1860,20.4681,0.9053,0.1886,140,0,100,17536,100,45638D00012EEDF5,"20 snapshots"
synthetic/clustered,poll,hybrid-4k+text,140,442880,17260,1860,25.6593,0.9263,0.1795,100,0,100,18944,100,45638D00012EEDF5,"20 snapshots"
synthetic/scattered,walk,uncached,23406,252796,252796,23406,1.0000,0.0000,1.2789,0,0,0,0,2341,02D5BBFDFAC2AB11,"Complete"
synthetic/scattered,walk,page-128,6936,887808,196628,16385,4.5152,0.5916,1.8326,0,0,2341,887808,2341,02D5BBFDFAC2AB11,"Complete"
synthetic/scattered,walk,page-256,4606,1179136,196628,16385,5.9968,0.7240,1.8751,0,0,2341,1179136,2341,02D5BBFDFAC2AB11,"Complete"
synthetic/scattered,walk,page-512,3711,1900032,196628,16385,9.6631,0.7759,1.9247,0,0,2341,1900032,2341,02D5BBFDFAC2AB11,"Complete"
synthetic/scattered,walk,page-1k,3207,3283968,196628,16385,16.7014,0.8054,1.9340,0,0,2341,3283968,2341,02D5BBFDFAC2AB11,"Complete"
synthetic/scattered,walk,page-2k,1772,3629056,196628,16385,18.4565,0.8922,1.7995,0,0,2341,3629056,2341,02D5BBFDFAC2AB11,"Complete"
synthetic/scattered,walk,page-4k,946,3874816,196628,16385,19.7063,0.9424,1.8182,0,0,2341,3874816,2341,02D5BBFDFAC2AB11,"Complete"
synthetic/scattered,walk,page-16k,960,7716864,196628,16385,39.2460,0.9812,1.7992,0,0,2341,5046272,2341,02D5BBFDFAC2AB11,"Complete"
synthetic/scattered,walk,span,4577,3428096,196628,16385,17.4344,0.7305,2.8170,2341,0,2341,3383552,2341,02D5BBFDFAC2AB11,"Complete"
synthetic/scattered,walk,hybrid-1k,2860,3667968,196628,16385,18.6544,0.8316,3.2903,2341,0,2341,3501056,2341,02D5BBFDFAC2AB11,"Complete"
synthetic/scattered,walk,hybrid-4k,2381,4094336,196628,16385,20.8228,0.8598,2.8624,2051,0,2341,3849856,2341,02D5BBFDFAC2AB11,"Complete"
synthetic/scattered,walk,hybrid-4k+text,1651,4927744,196628,16385,25.0613,0.9028,3.0585,1399,0,2341,3801984,2341,02D5BBFDFAC2AB11,"Complete"
synthetic/scattered,geometry,uncached,4200,33800,33800,4200,1.0000,0.0000,0.1340,0,0,0,0,200,7A4F75D02EFE0965,"200 snapshots"
synthetic/scattered,geometry,page-128,1200,153600,33800,4200,4.5444,0.7143,0.2551,0,0,0,768,200,7A4F75D02EFE0965,"200 snapshots"
synthetic/scattered,geometry,page-256,1200,307200,33800,4200,9.0888,0.7143,0.2724,0,0,0,1536,200,7A4F75D02EFE0965,"200 snapshots"
synthetic/scattered,geometry,page-512,1000,512000,33800,4200,15.1479,0.7619,0.2893,0,0,0,2560,200,7A4F75D02EFE0965,"200 snapshots"
synthetic/scattered,geometry,page-1k,1000,1024000,33800,4200,30.2959,0.7619,0.3090,0,0,0,5120,200,7A4F75D02EFE0965,"200 snapshots"
synthetic/scattered,geometry,page-2k,800,1638400,33800,4200,48.4734,0.8095,0.3091,0,0,0,8192,200,7A4F75D02EFE0965,"200 snapshots"
synthetic/scattered,geometry,page-4k,600,2457600,33800,4200,72.7101,0.8571,0.3485,0,0,0,12288,200,7A4F75D02EFE0965,"200 snapshots"
synthetic/scattered,geometry,page-16k,1400,13107200,33800,4200,387.7870,0.8571,0.5905,0,0,0,49152,200,7A4F75D02EFE0965,"200 snapshots"
synthetic/scattered,geometry,span,600,793600,33800,4200,23.4793,0.8571,0.4001,600,0,0,3968,200,7A4F75D02EFE0965,"200 snapshots"
synthetic/scattered,geometry,hybrid-1k,600,793600,33800,4200,23.4793,0.8571,0.4327,600,0,0,3968,200,7A4F75D02EFE0965,"200 snapshots"
synthetic/scattered,geometry,hybrid-4k,600,793600,33800,4200,23.4793,0.8571,0.3993,600,0,0,3968,200,7A4F75D02EFE0965,"200 snapshots"
synthetic/scattered,geometry,hybrid-4k+text,600,1689600,33800,4200,49.9882,0.8571,0.5811,600,0,0,8448,200,7A4F75D02EFE0965,"200 snapshots"
synthetic/scattered,poll,uncached,2380,21840,21840,2380,1.0000,0.0000,0.0951,0,0,0,0,120,59690E40298DF725,"20 snapshots"
synthetic/scattered,poll,page-128,840,107520,19280,2060,5.5768,0.6000,0.1515,0,0,120,5376,120,59690E40298DF725,"20 snapshots"
synthetic/scattered,poll,page-256,680,174080,19280,2060,9.0290,0.6699,0.1575,0,0,120,8704,120,59690E40298DF725,"20 snapshots"
